"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Wyposazenie","Material budynku","cena","urlo","miasto","Media","Zabezpieczenia","Informacje dodatkowe","Dostepne od"
"1:69","26,5 m²","pelna wlasnosc","1 ","do zamieszkania","6/7","balkon","250 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok",NA,"nie","lodówka, meble, piekarnik, kuchenka, pralka",NA,"235 000 zl","https://www.otodom.pl/pl/oferta/przestronna-kawalerka-wysoki-standard-po-remonci-ID4gHbb","katowice",NA,"monitoring / ochrona",NA,NA
"1:70","34 m²","zapytaj","2 ","do wykonczenia","3/3","balkon, taras","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","prywatny","2022","apartamentowiec","plastikowe","tak",NA,"pustak","374 000 zl","https://www.otodom.pl/pl/oferta/apartament-z-tarasem-z-widokiem-na-centrum-katowic-ID4h8HH","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","piwnica",NA
"1:71","36,93 m²","zapytaj","2 ","do wykonczenia","4/10","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","prywatny","2022","apartamentowiec",NA,"tak",NA,NA,"328 000 zl","https://www.otodom.pl/pl/oferta/sloneczne-tarasy-2-pokoje-do-odbioru-4-pietro-ID4h460","katowice",NA,NA,NA,NA
"1:72","35,89 m²","zapytaj","2 ","do wykonczenia","6/10","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","prywatny","2022","apartamentowiec",NA,"tak",NA,NA,"330 000 zl","https://www.otodom.pl/pl/oferta/sloneczne-tarasy-2-pokoje-do-odbioru-6-pietro-ID4h41i","katowice",NA,NA,NA,NA
"1:73","31,56 m²","pelna wlasnosc","2 ","zapytaj","> 10/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","352 339 zl","https://www.otodom.pl/pl/oferta/super-oferta-promocja-prestizowe-osiedle-0-pcc-ID4hh45","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:74","35,34 m²","pelna wlasnosc","7 ","do zamieszkania","7/10","zapytaj","350 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2009","apartamentowiec","plastikowe","tak","lodówka, piekarnik, kuchenka, telewizor, pralka","inne","406 000 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-komfortowe-mieszkanie-debowe-tarasy-ID4hgvG","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:75","31,5 m²","pelna wlasnosc","2 ","zapytaj","> 10/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","357 540 zl","https://www.otodom.pl/pl/oferta/prestizowe-osiedle-2-pokoje-mega-promocja-0-pcc-ID4hgwj","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:76","37 m²","pelna wlasnosc","2 ","zapytaj","2/4","balkon","332 zl","zapytaj","tak","miejskie","wtórny","prywatny",NA,"blok","drewniane","nie",NA,NA,"200 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-przytulne-mieszkanie-ul-narcyzow-ID4hbEF","katowice","telewizja kablowa, internet",NA,"piwnica",NA
"1:77","27,74 m²","zapytaj","1 ","do wykonczenia","3/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2022","apartamentowiec",NA,"tak",NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/inspire-mieszkanie-w-zielonym-sercu-katowic-d-3-9-ID4dXwK","katowice","telewizja kablowa, internet","domofon / wideofon",NA,"2023-08-30"
"1:78","31,5 m²","zapytaj","1 ","do zamieszkania","7/10","zapytaj","400 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","wielka plyta","209 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-nowoczesna-kawalerke-w-zielonej-okolicy-ID4hgwb","katowice","telewizja kablowa, internet","domofon / wideofon","piwnica, oddzielna kuchnia",NA
"1:79","35,61 m²","zapytaj","2 ","do wykonczenia","3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak",NA,NA,"343 689 zl","https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-daszynskiego-park-a33-ID4eNvX","katowice","telewizja kablowa, internet",NA,NA,NA
"1:80","34,02 m²","pelna wlasnosc","1 ","do wykonczenia","1/4","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-bez-prowizji-ID4gftb","katowice",NA,NA,NA,NA
"1:81","34,8 m²","pelna wlasnosc","2 ","do wykonczenia","> 10/12","balkon, taras","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","tak",NA,NA,"399 000 zl","https://www.otodom.pl/pl/oferta/debowe-tarasy-ustawne-2-pokoje-garaz-i-komorka-ID4hgj5","katowice","telewizja kablowa, internet",NA,"oddzielna kuchnia",NA
"1:82","27 m²","pelna wlasnosc","1 ","do zamieszkania","9/10","zapytaj","320 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie","meble",NA,"189 000 zl","https://www.otodom.pl/pl/oferta/katowice-giszowiec-kawalerka-ID4hggw","katowice","internet","domofon / wideofon","piwnica",NA
"1:83","36,93 m²","pelna wlasnosc","2 ","do wykonczenia","1/10","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","tak",NA,"pustak","341 471 zl","https://www.otodom.pl/pl/oferta/apartament-37m2-2-pokoje-biuro-sprzedazy-0-pcc-ID4hfZ1","katowice","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","piwnica, pom. uzytkowe",NA
"1:84","31 m²","pelna wlasnosc","2 ","do wykonczenia","1/3","balkon","120 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","tak",NA,"pustak","324 085 zl","https://www.otodom.pl/pl/oferta/nowoczesny-apartamentowiec-blisko-centrum-0-pcc-ID4hfYb","katowice","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","piwnica, pom. uzytkowe",NA
"1:85","31,89 m²","pelna wlasnosc","2 ","zapytaj","> 10/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","361 892 zl","https://www.otodom.pl/pl/oferta/prestizowe-osiedle-mieszkanie-2-pokoje-promocja-ID4hfOH","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:86","26 m²","pelna wlasnosc","1 ","do zamieszkania","1/3","zapytaj","210 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","1901","kamienica",NA,"nie","meble","cegla","310 000 zl","https://www.otodom.pl/pl/oferta/wyremontowana-kawalerka-bezposrednio-przy-ue-ID4gAKd","katowice",NA,NA,"piwnica, pom. uzytkowe",NA
"1:87","31,14 m²","pelna wlasnosc","1 ","do zamieszkania","4/4","balkon","330 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok",NA,"nie",NA,"wielka plyta","219 000 zl","https://www.otodom.pl/pl/oferta/wyremontowane-mieszkanie-duzym-balkonem-giszowiec-ID4gOW5","katowice",NA,NA,"piwnica, pom. uzytkowe",NA
"1:88","37,6 m²","pelna wlasnosc","2 ","do zamieszkania","parter/10","zapytaj","430 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok",NA,"tak",NA,"wielka plyta","290 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-wyremontowane-giszowiec-ID4h6kI","katowice",NA,NA,"piwnica, pom. uzytkowe","2022-07-30"
"1:89","30,5 m²","pelna wlasnosc","2 ","do zamieszkania","5/8","zapytaj","450 zl","zapytaj","Film","miejskie","wtórny","prywatny","1970","blok","plastikowe","tak","lodówka, meble, kuchenka, pralka","wielka plyta","216 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-mega-lokalizacji-ID4gyyD","katowice","telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona",NA,NA
"1:90","31,84 m²","pelna wlasnosc","2 ","zapytaj","10/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","361 334 zl","https://www.otodom.pl/pl/oferta/gotowe-mega-oferta-kup-juz-dzis-wysoki-standard-ID4hfiz","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:91","27,27 m²","pelna wlasnosc","1 ","zapytaj","3/6","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","289 062 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-prestizowej-lokalizacji-bez-prowizji-ID4hfi9","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:92","32,96 m²","zapytaj","2 ","do wykonczenia","parter/2","balkon","zapytaj","zapytaj","zapytaj","gazowe","pierwotny","biuro nieruchomosci ","2021","apartamentowiec","plastikowe","tak",NA,"inne","269 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-panewniki-stan-deweloperski-ID4fHGJ","katowice","telewizja kablowa, internet, telefon",NA,NA,NA
"1:93","35 m²","zapytaj","1 ","do zamieszkania","5/7","zapytaj","500 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1960",NA,"plastikowe","tak",NA,"cegla","280 000 zl","https://www.otodom.pl/pl/oferta/ok-katedry-przestronna-kawalerka-ID4hfap","katowice",NA,NA,NA,NA
"1:94","38 m²","pelna wlasnosc","2 ","do remontu","7/7","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak",NA,"wielka plyta","255 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-piotrowce-38-m2-ID4heWx","katowice",NA,"domofon / wideofon","piwnica",NA
"1:95","32,87 m²","pelna wlasnosc","2 ","zapytaj","1/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","373 829 zl","https://www.otodom.pl/pl/oferta/komfortowe-2-pokoje-prestizowe-osiedle-promocja-ID4heIN","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:96","31,6 m²","pelna wlasnosc","1 ","do zamieszkania","parter/4","zapytaj","225 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak",NA,"wielka plyta","220 000 zl","https://www.otodom.pl/pl/oferta/obok-parku-slaskiego-nowoczesna-kawalerka-ID4heFX","katowice","telewizja kablowa, internet, telefon","system alarmowy","piwnica",NA
"1:97","37,26 m²","spóldzielcze wlasnosciowe","1 ","zapytaj","1/3","zapytaj","442 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie",NA,"cegla","310 000 zl","https://www.otodom.pl/pl/oferta/przestronna-kawalerka-widok-os-ducha-ID4heBi","katowice",NA,NA,"piwnica",NA
"1:98","37,65 m²","pelna wlasnosc","2 ","do zamieszkania","2/6","balkon","300 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny","2021","blok","plastikowe","tak","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,"489 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-z-miejsc-parking-ul-ceglana-ID4he6k","katowice",NA,NA,"pom. uzytkowe",NA
"1:99","32,77 m²","pelna wlasnosc","2 ","zapytaj","parter/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","371 713 zl","https://www.otodom.pl/pl/oferta/promocja-tylko-teraz-mieszkanie-2-pokoje-0-pcc-ID4he5S","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:100","38 m²","zapytaj","2 ","do remontu","4/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie",NA,"wielka plyta","184 000 zl","https://www.otodom.pl/pl/oferta/tanie-2-pokoje-z-centralnym-do-remontu-ladny-blok-ID4hdXI","katowice",NA,NA,NA,NA
"1:101","28 m²","pelna wlasnosc","1 ","do zamieszkania","5/10","balkon","200 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"apartamentowiec","plastikowe","tak","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","pustak","379 000 zl","https://www.otodom.pl/pl/oferta/lux-mieszkanie-z-pieknym-zachodem-slonca-bezposr-ID4g7yw","katowice","telewizja kablowa, internet, telefon","domofon / wideofon","piwnica, oddzielna kuchnia, pom. uzytkowe",NA
"1:102","34 m²","pelna wlasnosc","1 ","do zamieszkania","1/6","balkon","200 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","prywatny","2021","blok","plastikowe","tak","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,"409 900 zl","https://www.otodom.pl/pl/oferta/apartament-z-balkonem-pod-klucz-ID4h15u","katowice",NA,"drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon",NA,NA
"1:103","38 m²","pelna wlasnosc","2 ","do zamieszkania","1/2","zapytaj","690 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"kamienica","plastikowe","nie","lodówka, meble, kuchenka, pralka","cegla","210 000 zl","https://www.otodom.pl/pl/oferta/bez-prowizji-bezposrednio-od-sprzedajacego-ID4hcY5","katowice","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon",NA,NA
"1:104","32,7 m²","pelna wlasnosc","2 ","do wykonczenia","1/3","zapytaj","155 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2023","kamienica",NA,"nie",NA,NA,"261 000 zl","https://www.otodom.pl/pl/oferta/nowe-2-pokoje-na-nikiszu-bezposrednio-bez-podatku-ID4hdqm","katowice",NA,"monitoring / ochrona",NA,"2023-06-30"
"1:105","35,77 m²","pelna wlasnosc","2 ","do wykonczenia","1/8","balkon","175 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,NA,"393 470 zl","https://www.otodom.pl/pl/oferta/nowe-2-pok-miejsce-postojowe-gratis-do-odbioru-ID4hdqi","katowice",NA,"system alarmowy, monitoring / ochrona",NA,NA
"1:106","37 m²","spóldzielcze wlasnosciowe","2 ","do remontu","4/15","balkon","500 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,NA,"drewniane","nie",NA,"wielka plyta","269 000 zl","https://www.otodom.pl/pl/oferta/katowice-centrum-superjednostka-2-pokoje-ID4h0wy","katowice",NA,"teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA
"1:107","38 m²","zapytaj","2 ","do remontu","4/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie",NA,"cegla","199 000 zl","https://www.otodom.pl/pl/oferta/2-niezalezne-pokoje-do-remontu-janow-zamkowa-38m2-ID4h0uQ","katowice",NA,NA,NA,NA
"1:108","30,82 m²","zapytaj","1 ","do remontu","9/11","balkon","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok",NA,"tak",NA,NA,"270 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-na-os-paderewskiego-super-inwestycja-ID4hdlH","katowice","telewizja kablowa, internet, telefon","domofon / wideofon","piwnica","2022-06-18"
"1:109","38 m²","zapytaj","2 ","do zamieszkania","3/10","balkon","400 zl","zapytaj","Wirtualny spacer","miejskie","wtórny","biuro nieruchomosci ","1975","blok","plastikowe","tak",NA,NA,"275 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-po-kapitalnym-remoncie-ul-morawa-ID4hddZ","katowice","telewizja kablowa, internet, telefon",NA,"piwnica",NA
"1:110","35,1 m²","pelna wlasnosc","1 ","zapytaj","1/3","balkon, taras","zapytaj","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ","2021",NA,"plastikowe","tak",NA,NA,"445 000 zl","https://www.otodom.pl/pl/oferta/wykonczona-i-umeblowana-pod-klucz-ID4gZYa","katowice",NA,"domofon / wideofon",NA,"2021-04-30"
"1:111","37 m²","spóldzielcze wl. z KW","1 ","zapytaj","2/18","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak",NA,NA,"295 000 zl","https://www.otodom.pl/pl/oferta/duza-kawalerka-przy-parku-ID4hd86","katowice","telewizja kablowa, internet, telefon",NA,NA,NA
"1:112","36 m²","pelna wlasnosc","2 ","do remontu","parter/3","zapytaj","440 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok",NA,"nie",NA,NA,"225 000 zl","https://www.otodom.pl/pl/oferta/katowice-dwa-pokoje-w-bloku-okazja-dla-inwestora-ID4hd7y","katowice","telewizja kablowa, internet","domofon / wideofon","piwnica, oddzielna kuchnia",NA
"1:113","31,61 m²","zapytaj","2 ","do wykonczenia","8/13","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","tak",NA,NA,"343 235 zl","https://www.otodom.pl/pl/oferta/nowe-2-pok-debowe-tarasy-ID4fJWT","katowice","telewizja kablowa, internet, telefon","teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA
"1:114","37,3 m²","pelna wlasnosc","2 ","zapytaj","parter/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","363 297 zl","https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodkiem-prestizowe-osiedle-hot-ID4hcst","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:115","37 m²","pelna wlasnosc","1 ","do remontu","4/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1950","blok","plastikowe","nie",NA,"cegla","265 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-37-m-katowice-ID4hcry","katowice",NA,"domofon / wideofon","oddzielna kuchnia",NA
"1:116","30,42 m²","pelna wlasnosc","1 ","do zamieszkania","8/11","balkon","340 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok",NA,"tak",NA,NA,"270 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-swietnej-lokalizacji-do-wejscia-ID4hclM","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","piwnica","2022-06-15"
"1:117","30,08 m²","pelna wlasnosc","1 ","zapytaj","5/5","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"kamienica","plastikowe","tak",NA,NA,"312 983 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-budynek-z-winda-co-miejskie-ID4hbVt","katowice","telewizja kablowa, internet",NA,"oddzielna kuchnia",NA
"1:118","35,5 m²","pelna wlasnosc","2 ","do wykonczenia","6/12","balkon, taras","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","tak",NA,"beton komórkowy","454 400 zl","https://www.otodom.pl/pl/oferta/debowe-tarasy-nowe-gotowe-6pietro-garaz-komorka-ID4gIyt","katowice","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","oddzielna kuchnia",NA
"1:119","27,27 m²","pelna wlasnosc","1 ","do wykonczenia","1/6","zapytaj","zapytaj","zapytaj","Film","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,"pustak","275 190 zl","https://www.otodom.pl/pl/oferta/nowa-inwestycja-gwarancja-najnizszej-ceny-0-ID4hbM0","katowice",NA,"monitoring / ochrona",NA,NA
"1:120","32,71 m²","pelna wlasnosc","2 ","do wykonczenia","parter/5","ogródek","zapytaj","garaz/miejsce parkingowe","zapytaj","gazowe","pierwotny","deweloper","2022","apartamentowiec","plastikowe","nie",NA,"beton","320 558 zl","https://www.otodom.pl/pl/oferta/ostrawska-1-dwupokojowe-mieszkanie-z-ogrodkiem-ID4fGNn","katowice","telewizja kablowa, internet","domofon / wideofon",NA,"2023-05-01"
"1:121","30,82 m²","spóldzielcze wlasnosciowe","1 ","do remontu","9/11","balkon","390 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak","lodówka, meble, kuchenka","wielka plyta","265 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-osiedle-paderewskiego-ID4gYaN","katowice",NA,"domofon / wideofon","piwnica",NA
"1:122","37 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","1/3","zapytaj","650 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie","meble, kuchenka","wielka plyta","210 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-katowice-zamkowa-2-pokoje-ID4gt1x","katowice","internet",NA,"piwnica",NA
"1:123","30,56 m²","pelna wlasnosc","1 ","do zamieszkania","3/10","zapytaj","460 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok",NA,"tak",NA,"wielka plyta","225 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-bloku-z-winda-ID4hbhJ","katowice",NA,"monitoring / ochrona",NA,NA
"1:124","32,5 m²","pelna wlasnosc","2 ","do remontu","4/10","zapytaj","450 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok","plastikowe","tak",NA,"zelbet","169 000 zl","https://www.otodom.pl/pl/oferta/katowice-szopienice-osiedlowa-morawa-2-pokoje-ID4hb7r","katowice","telewizja kablowa, internet","domofon / wideofon","piwnica",NA
