"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","cena","urlo","miasto","Material budynku","Informacje dodatkowe","Dostepne od"
"1:71","30,32 m²","pelna wlasnosc","2 ","do wykonczenia","5/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-30m2-balkon-bezposrednio-ID4gIN0","wroclaw",NA,NA,NA
"1:72","28,97 m²","pelna wlasnosc","1 ","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"309 979 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-ID4g6oY","wroclaw",NA,NA,NA
"1:73","36,65 m²","pelna wlasnosc","1 ","zapytaj","1/3","zapytaj","zapytaj","zapytaj","Film","miejskie","pierwotny","biuro nieruchomosci ","2022","blok",NA,"tak",NA,NA,NA,"542 420 zl","https://www.otodom.pl/pl/oferta/gotowa-kawalerka-w-rewitalizowanej-kamienicy-ID4hjCy","wroclaw","cegla",NA,"2022-06-24"
"1:74","32,03 m²","pelna wlasnosc","2 ","zapytaj","2/4","balkon","zapytaj","zapytaj","Film","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,NA,NA,"349 927 zl","https://www.otodom.pl/pl/oferta/gotowe-2-pok-bez-prowizji-bez-podatku-ID4hhLh","wroclaw","inne",NA,"2022-06-01"
"1:75","32,52 m²","pelna wlasnosc","2 ","zapytaj","parter/4","balkon, ogródek","zapytaj","zapytaj","Wirtualny spacer","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,NA,NA,"336 582 zl","https://www.otodom.pl/pl/oferta/2-pokoje-z-ogrodkiem-19m2-klucze-listopad-ID4hgMl","wroclaw","inne",NA,"2022-11-01"
"1:76","36,3 m²","zapytaj","2 ","do zamieszkania","4/4","balkon","460 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","plastikowe","nie","telewizja kablowa, internet, telefon",NA,NA,"421 000 zl","https://www.otodom.pl/pl/oferta/lux-centrum-okazja-rozklad-2-pokoje-balkon-ID4hjXW","wroclaw","wielka plyta","piwnica",NA
"1:77","33 m²","zapytaj","2 ","do zamieszkania","parter/2","zapytaj","340 zl","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ","1977","blok","plastikowe","nie","telewizja kablowa, internet, telefon",NA,NA,"380 000 zl","https://www.otodom.pl/pl/oferta/super-cena-rozklad-2-pok-dostepne-od-zaraz-ID4hjX0","wroclaw",NA,"piwnica",NA
"1:78","36,3 m²","zapytaj","2 ","do zamieszkania","3/7","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak",NA,"domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","429 000 zl","https://www.otodom.pl/pl/oferta/swietna-lokalizacja-rozkladowe-mieszkanie-ID4gAlW","wroclaw","cegla","piwnica, oddzielna kuchnia",NA
"1:79","33,41 m²","pelna wlasnosc","2 ","do wykonczenia","5/8","balkon","250 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","2021","apartamentowiec","plastikowe","nie",NA,"domofon / wideofon",NA,"429 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-port-popowice-ID4h7Ue","wroclaw","silikat",NA,NA
"1:80","14,95 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"436 700 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-14m2-ID4hgo3","wroclaw",NA,NA,NA
"1:81","19,59 m²","zapytaj","1 ","do zamieszkania","1/4","zapytaj","9 zl","zapytaj","zapytaj","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"nie","telewizja kablowa, internet",NA,NA,"313 440 zl","https://www.otodom.pl/pl/oferta/centrum-wroclawia-kepa-mieszczanska-ID4f5U7","wroclaw",NA,NA,NA
"1:82","26,96 m²","zapytaj","1 ","do wykonczenia","2","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/wygodny-lokal-armii-krajowej-b-2-h3-ID4ffTL","wroclaw",NA,"pom. uzytkowe",NA
"1:83","36,47 m²","pelna wlasnosc","2 ","do zamieszkania","parter","balkon","350 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","2009","blok",NA,"tak",NA,"drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona, rolety antywlamaniowe",NA,"445 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-balkon-inwestycja-ID4hdw1","wroclaw",NA,"oddzielna kuchnia",NA
"1:84","34 m²","pelna wlasnosc","2 ","zapytaj","2/10","balkon","360 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1982","blok",NA,"tak","telewizja kablowa, internet","domofon / wideofon",NA,"345 000 zl","https://www.otodom.pl/pl/oferta/psie-pole-34-m2-2-pokoje-balkon-ID4hjNo","wroclaw","wielka plyta","piwnica","2022-06-25"
"1:85","21,7 m²","zapytaj","1 ","zapytaj","2/3","zapytaj","350 zl","zapytaj","zapytaj","kotlownia","wtórny","biuro nieruchomosci ","2001","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"299 900 zl","https://www.otodom.pl/pl/oferta/funkcjonalna-umeblowana-kawalerka-z-2001-roku-ID4hjNc","wroclaw","silikat",NA,NA
"1:86","36,87 m²","pelna wlasnosc","2 ","do wykonczenia","2/4","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"332 419 zl","https://www.otodom.pl/pl/oferta/najtansze-2-pokoje-15-min-do-centrum-rabat-ID4hjMQ","wroclaw","cegla","pom. uzytkowe",NA
"1:87","26 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","drewniane","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"378 000 zl","https://www.otodom.pl/pl/oferta/ul-komuny-paryskiej-nowe-bez-prowizji-ID4hjMH","wroclaw","cegla",NA,NA
"1:88","31 m²","zapytaj","1 ","do zamieszkania","5/8","balkon","300 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny","2022","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka","429 000 zl","https://www.otodom.pl/pl/oferta/port-popowice-nowa-kawalerka-2022r-lux-ID4hi0m","wroclaw","silikat","piwnica, oddzielna kuchnia, pom. uzytkowe",NA
"1:89","22 m²","pelna wlasnosc","1 ","do remontu","3/4","balkon","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok",NA,"nie",NA,NA,NA,"255 000 zl","https://www.otodom.pl/pl/oferta/ok-ul-glinianej-kawalerka-z-balkonem-do-remontu-ID4hjL9","wroclaw","wielka plyta",NA,NA
"1:90","36 m²","pelna wlasnosc","2 ","do zamieszkania","5/5","balkon","400 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny","2015","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","500 000 zl","https://www.otodom.pl/pl/oferta/promenady-wro-sloneczne-2-pokoje-z-balkonem-ID4exe1","wroclaw",NA,NA,NA
"1:91","30,28 m²","zapytaj","1 ","do zamieszkania","3/3","balkon","zapytaj","zapytaj","tak","zapytaj","wtórny","prywatny","2015","blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","395 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-30-2m2-olimpia-port-ID4hjKH","wroclaw",NA,NA,NA
"1:92","36,88 m²","pelna wlasnosc","2 ","do zamieszkania","2/17","taras","500 zl","zapytaj","","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie","internet","domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","590 000 zl","https://www.otodom.pl/pl/oferta/atal-towers-sikorskiego-duzy-taras-inwestycyjne-ID4fRuO","wroclaw","beton",NA,NA
"1:93","37,8 m²","pelna wlasnosc","2 ","do remontu","3/6","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok",NA,"tak",NA,"monitoring / ochrona",NA,"339 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-w-pelnym-rozkladzie-przy-pkp-i-wroclavii-ID4hjJk","wroclaw","wielka plyta","piwnica, pom. uzytkowe","2022-07-01"
"1:94","34 m²","pelna wlasnosc","2 ","do zamieszkania","5/10","balkon","360 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1975","blok","plastikowe","tak",NA,NA,"meble, piekarnik, kuchenka","399 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-z-balkonem-przy-parku-zach-ID4gWu1","wroclaw","wielka plyta","piwnica, oddzielna kuchnia",NA
"1:95","31,9 m²","pelna wlasnosc","1 ","do zamieszkania","4/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2021","blok",NA,"nie","telefon",NA,NA,"429 000 zl","https://www.otodom.pl/pl/oferta/popowicka-port-apartament-balkon-winda-widok-ID4hjHi","wroclaw",NA,NA,NA
"1:96","32 m²","zapytaj","1 ","do wykonczenia","1/9","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","prywatny","2022","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"370 000 zl","https://www.otodom.pl/pl/oferta/blisko-centrum-stare-miasto-mozliwosc-2-pok-ID4gmlP","wroclaw",NA,NA,NA
"1:97","27,24 m²","pelna wlasnosc","1 ","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bezposrednio-ID4gcm9","wroclaw",NA,NA,NA
"1:98","37,06 m²","pelna wlasnosc","2 ","do wykonczenia","3/4","balkon","400 zl","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon",NA,"376 900 zl","https://www.otodom.pl/pl/oferta/bezpieczna-inwestycja-b-dobry-dojazd-do-centrum-ID4h7Ef","wroclaw","silikat",NA,NA
"1:99","28,37 m²","pelna wlasnosc","1 ","zapytaj","4/6","balkon","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","nie","internet",NA,NA,"520 000 zl","https://www.otodom.pl/pl/oferta/nowoczesny-apartament-pod-klucz-do-wejscia-centrum-ID4h5Rf","wroclaw",NA,NA,NA
"1:100","28 m²","pelna wlasnosc","1 ","zapytaj","parter/4","zapytaj","150 zl","zapytaj","zapytaj","inne","wtórny","biuro nieruchomosci ","1930","kamienica","plastikowe","nie",NA,NA,NA,"354 000 zl","https://www.otodom.pl/pl/oferta/inwestycyjna-kawalerka-z-antresola-ID4gYK8","wroclaw",NA,"piwnica",NA
"1:101","20 m²","pelna wlasnosc","1 ","zapytaj","parter/4","zapytaj","100 zl","zapytaj","zapytaj","inne","wtórny","biuro nieruchomosci ","1930","kamienica","plastikowe","nie",NA,NA,NA,"272 000 zl","https://www.otodom.pl/pl/oferta/inwestycyjna-kawalerka-z-antresola-ID4gYK9","wroclaw",NA,"piwnica",NA
"1:102","29,78 m²","pelna wlasnosc","1 ","do wykonczenia","parter/7","balkon","300 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2023","blok","plastikowe","tak","internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona, rolety antywlamaniowe",NA,"399 000 zl","https://www.otodom.pl/pl/oferta/przestronna-kawalerka-lub-2-pokoje-stare-miasto-ID4gVQO","wroclaw","inne","piwnica","2023-12-31"
"1:103","36,52 m²","pelna wlasnosc","2 ","do zamieszkania","1/3","balkon","280 zl","garaz/miejsce parkingowe","tak","miejskie","wtórny","prywatny","2020","blok","plastikowe","tak","internet","drzwi / okna antywlamaniowe, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, telewizor, pralka","439 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-inzynierska-garaz-balkon-ID4hjDp","wroclaw",NA,NA,NA
"1:104","34,77 m²","pelna wlasnosc","2 ","do zamieszkania","7/11","balkon","450 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1970","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon","piekarnik, kuchenka","445 000 zl","https://www.otodom.pl/pl/oferta/na-sprzedaz-2-pokojwe-mieszkanie-ul-sliczna-ID4ddq1","wroclaw","wielka plyta","piwnica, oddzielna kuchnia",NA
"1:105","18,78 m²","pelna wlasnosc","1 ","do zamieszkania","3/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","kotlownia","pierwotny","deweloper","2023","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, kuchenka","277 192,80 zl","https://www.otodom.pl/pl/oferta/apartament-inwestycyjny-ul-zwycieska-ID4eMEy","wroclaw",NA,NA,NA
"1:106","37,11 m²","pelna wlasnosc","1 ","do zamieszkania","1/4","zapytaj","9 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper","2023","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"530 673 zl","https://www.otodom.pl/pl/oferta/lokal-na-kepie-mieszczanskiej-ID4f5NF","wroclaw","silikat",NA,NA
"1:107","35,7 m²","zapytaj","2 ","do zamieszkania","8","zapytaj","460 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok",NA,"tak",NA,NA,"meble","369 900 zl","https://www.otodom.pl/pl/oferta/2-pok-wyposazone-mieszkanie-w-pelni-rozkladowe-ID4haXg","wroclaw",NA,NA,NA
"1:108","37,11 m²","pelna wlasnosc","2 ","do zamieszkania","3/5","balkon","300 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","2012","blok","plastikowe","tak","internet","teren zamkniety, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","445 320 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-ul-pradzynskiego-centrum-ID4ePhg","wroclaw","beton komórkowy","piwnica, oddzielna kuchnia",NA
"1:109","31,56 m²","zapytaj","1 ","zapytaj","1/2","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ",NA,NA,NA,"nie",NA,NA,NA,"467 088 zl","https://www.otodom.pl/pl/oferta/piekna-kamienica-swietna-lokalizacja-ID4hjsQ","wroclaw",NA,NA,NA
"1:110","36,56 m²","pelna wlasnosc","2 ","zapytaj","5/11","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2016","apartamentowiec","plastikowe","tak",NA,"domofon / wideofon, monitoring / ochrona",NA,"636 450 zl","https://www.otodom.pl/pl/oferta/apartament-na-gwiazdzistej-w-centrum-ID4fUR3","wroclaw",NA,NA,NA
"1:111","31,5 m²","pelna wlasnosc","1 ","do zamieszkania","3/3","balkon","250 zl","zapytaj","zapytaj","kotlownia","wtórny","biuro nieruchomosci ","2012","blok","plastikowe","tak",NA,"domofon / wideofon",NA,"415 000 zl","https://www.otodom.pl/pl/oferta/ladna-kawalerka-na-partynicach-z-2012-roku-ID4fS03","wroclaw","silikat",NA,NA
"1:112","35,5 m²","pelna wlasnosc","2 ","zapytaj","parter/2","ogródek","400 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2017","blok","plastikowe","tak","telewizja kablowa","drzwi / okna antywlamaniowe, domofon / wideofon, rolety antywlamaniowe",NA,"550 000 zl","https://www.otodom.pl/pl/oferta/wyposazone-2m-z-duzym-ogrodem-i-m-postoj-w-cenie-ID4fOrW","wroclaw","inne","piwnica",NA
"1:113","33,7 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","balkon","300 zl","garaz/miejsce parkingowe","zapytaj","kotlownia","wtórny","biuro nieruchomosci ","2023","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"369 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-z-balkonem-na-oporowie-ID4fCWm","wroclaw","inne",NA,"2023-10-01"
"1:114","35,9 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","4/6","balkon","350 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","1980","blok","plastikowe","tak","internet","domofon / wideofon","lodówka, meble, pralka","419 000 zl","https://www.otodom.pl/pl/oferta/plomba-srodmiescie-media-miejskie-balkon-ID4gFuE","wroclaw","cegla","piwnica, oddzielna kuchnia",NA
"1:115","23,5 m²","spóldzielcze wlasnosciowe","1 ","zapytaj","2/10","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak",NA,NA,"meble","330 000 zl","https://www.otodom.pl/pl/oferta/super-kawalerka-legnicka-ID4hjs0","wroclaw","pustak","piwnica","2022-09-01"
"1:116","34,3 m²","zapytaj","1 ","do zamieszkania","2/10","balkon","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1990","blok","plastikowe","tak","telewizja kablowa, internet, telefon",NA,NA,"459 000 zl","https://www.otodom.pl/pl/oferta/okazja-1-pokojowa-kawalerka-wyremontowana-ID4hjrR","wroclaw","wielka plyta","piwnica",NA
"1:117","36,92 m²","pelna wlasnosc","2 ","do remontu","parter/4","zapytaj","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1880","kamienica","drewniane","nie",NA,"domofon / wideofon",NA,"489 000 zl","https://www.otodom.pl/pl/oferta/najpiekniejsza-kamienica-we-wroclawiu-2-pok-ID4cwQN","wroclaw","inne","piwnica","2021-07-20"
"1:118","24 m²","pelna wlasnosc","1 ","zapytaj","1/4","zapytaj","210 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1930","kamienica","plastikowe","nie",NA,NA,NA,"359 000 zl","https://www.otodom.pl/pl/oferta/klimatyczna-kawalerka-z-antresola-w-centrum-ID4bHBT","wroclaw",NA,NA,NA
"1:119","33,19 m²","pelna wlasnosc","2 ","zapytaj","1/6","balkon","250 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2019","blok","plastikowe","nie","internet",NA,NA,"530 000 zl","https://www.otodom.pl/pl/oferta/wyjatkowy-apartament-typu-studio-z-balkonem-blisko-ID48ZRm","wroclaw","inne",NA,"2020-12-01"
"1:120","33,3 m²","pelna wlasnosc","2 ","zapytaj","1/6","balkon","250 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2019","blok","plastikowe","nie","internet",NA,NA,"530 000 zl","https://www.otodom.pl/pl/oferta/nowoczesny-apartament-typu-studio-z-balkonem-blisk-ID48ZUG","wroclaw","inne",NA,"2020-12-01"
"1:121","36,28 m²","pelna wlasnosc","2 ","do wykonczenia","2/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","drewniane","tak","internet","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona, rolety antywlamaniowe",NA,"565 968 zl","https://www.otodom.pl/pl/oferta/gotowe-kameralny-kompleks-w-sercu-miasta-ID4hjrK","wroclaw",NA,NA,NA
"1:122","32,2 m²","zapytaj","1 ","zapytaj","4","balkon","zapytaj","zapytaj","Wirtualny spacer","miejskie","wtórny","biuro nieruchomosci ",NA,"apartamentowiec",NA,"nie",NA,"domofon / wideofon","lodówka, meble, pralka","338 500 zl","https://www.otodom.pl/pl/oferta/przestronna-kawalerka-z-balkonem-komorka-lokator-ID4hjqz","wroclaw",NA,NA,NA
"1:123","32,72 m²","pelna wlasnosc","2 ","zapytaj","4/6","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2023","apartamentowiec",NA,"tak",NA,NA,NA,"366 234 zl","https://www.otodom.pl/pl/oferta/dwa-pokoje-tuz-przy-parku-balkon-bez-prowizji-ID4hjql","wroclaw","inne",NA,"2023-03-31"
"1:124","27,86 m²","pelna wlasnosc","1 ","zapytaj","parter/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,NA,NA,"317 395 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-ogrodkiem-18m2-na-jagodnie-ID4hjqc","wroclaw","inne",NA,"2023-02-28"
"1:125","28 m²","zapytaj","1 ","do wykonczenia","1/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj","pierwotny","biuro nieruchomosci ","2022","blok",NA,"tak",NA,"monitoring / ochrona",NA,"320 000 zl","https://www.otodom.pl/pl/oferta/cicha-okolica-balkon-umow-sie-ID4hjpX","wroclaw",NA,NA,NA
"1:126","35,5 m²","zapytaj","2 ","do wykonczenia","1/2","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ",NA,"blok",NA,"tak",NA,NA,NA,"361 000 zl","https://www.otodom.pl/pl/oferta/do-negocjacji-2-pokoje-balkon-cicha-okolica-ID4hjpW","wroclaw",NA,NA,NA
"1:127","25,92 m²","pelna wlasnosc","1 ","zapytaj","1/7","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2022","blok",NA,"tak","telewizja kablowa, internet, telefon","domofon / wideofon",NA,"399 000 zl","https://www.otodom.pl/pl/oferta/2022-top-duzy-balkon-bez-pcc-ID4hjpy","wroclaw",NA,"pom. uzytkowe",NA
"1:128","37,4 m²","pelna wlasnosc","2 ","do wykonczenia","1/2","ogródek","zapytaj","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ","1932","dom wolnostojacy","plastikowe","nie",NA,NA,NA,"299 999 zl","https://www.otodom.pl/pl/oferta/2-pokoje-37-m2-ogrody-150-m2-stan-deweloperski-ID4ggKy","wroclaw","cegla","piwnica",NA
"1:129","38 m²","pelna wlasnosc","2 ","do zamieszkania","5/6","balkon","490 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2010","blok","plastikowe","tak",NA,"teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"530 000 zl","https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-garazem-podziemnym-ID4hjk9","wroclaw","silikat",NA,NA
"1:130","38 m²","zapytaj","1 ","zapytaj","5","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"nie",NA,NA,NA,"473 770 zl","https://www.otodom.pl/pl/oferta/kepa-mieszczanska-38-00-m2-gotowe-jesienia-22-ID4hjjy","wroclaw",NA,NA,NA
"1:131","37,3 m²","zapytaj","1 ","zapytaj","4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"nie",NA,NA,NA,"453 882 zl","https://www.otodom.pl/pl/oferta/kepa-mieszczanska-37-30-m2-gotowe-jesienia-22-ID4hjjv","wroclaw",NA,NA,NA
"1:132","28,42 m²","pelna wlasnosc","1 ","do zamieszkania","3/7","zapytaj","460 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2013",NA,NA,"tak",NA,"monitoring / ochrona","meble","339 900 zl","https://www.otodom.pl/pl/oferta/apartament-28m2-wroclaw-hubska-hotel-invite-ID4gQIC","wroclaw","inne",NA,NA
"1:133","33,5 m²","spóldzielcze wlasnosciowe","2 ","zapytaj","3/10","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"399 000 zl","https://www.otodom.pl/pl/oferta/rozanka-2-pokoje-z-balkonem-winda-ID4gynk","wroclaw","inne",NA,NA
